GO_ID	ClusterID	ClusterName
GO:0072669	2	Nuclear Enzyme Complexes
GO:0072686	0	Membrane & Organelle
GO:0080008	2	Nuclear Enzyme Complexes
GO:0085026	0	Membrane & Organelle
GO:0089701	1	Gene-Expression Complexes
GO:0090661	1	Gene-Expression Complexes
GO:0097038	0	Membrane & Organelle
GO:0097255	1	Gene-Expression Complexes
GO:0097361	2	Nuclear Enzyme Complexes
GO:0097526	1	Gene-Expression Complexes
GO:0097550	1	Gene-Expression Complexes
GO:0097619	1	Gene-Expression Complexes
GO:0097708	0	Membrane & Organelle
GO:0099023	1	Gene-Expression Complexes
GO:0099080	0	Membrane & Organelle
GO:0110165	0	Membrane & Organelle
GO:0120114	1	Gene-Expression Complexes
GO:1902555	2	Nuclear Enzyme Complexes
GO:1903561	0	Membrane & Organelle
GO:1903600	2	Nuclear Enzyme Complexes
GO:1990070	2	Nuclear Enzyme Complexes
GO:1990071	2	Nuclear Enzyme Complexes
GO:1990072	2	Nuclear Enzyme Complexes
GO:1990112	1	Gene-Expression Complexes
GO:1990221	2	Nuclear Enzyme Complexes
GO:1990225	0	Membrane & Organelle
GO:1990229	1	Gene-Expression Complexes
GO:1990234	2	Nuclear Enzyme Complexes
GO:1990467	2	Nuclear Enzyme Complexes
GO:1990468	2	Nuclear Enzyme Complexes
GO:1990529	2	Nuclear Enzyme Complexes
GO:1990726	1	Gene-Expression Complexes
GO:1990745	1	Gene-Expression Complexes
GO:1990811	1	Gene-Expression Complexes
GO:1990904	1	Gene-Expression Complexes
GO:0000152	2	Nuclear Enzyme Complexes
GO:0000323	0	Membrane & Organelle
GO:0000835	2	Nuclear Enzyme Complexes
GO:0000836	2	Nuclear Enzyme Complexes
GO:0005767	0	Membrane & Organelle
GO:0005942	2	Nuclear Enzyme Complexes
GO:0008303	2	Nuclear Enzyme Complexes
GO:0009521	3	Membrane Transport & Vesicle
GO:0012506	0	Membrane & Organelle
GO:0018995	0	Membrane & Organelle
GO:0019866	0	Membrane & Organelle
GO:0030120	3	Membrane Transport & Vesicle
GO:0030658	0	Membrane & Organelle
GO:0030659	0	Membrane & Organelle
GO:0030660	0	Membrane & Organelle
GO:0030662	0	Membrane & Organelle
GO:0030681	2	Nuclear Enzyme Complexes
